flavor_group,brand,n_buyers
avocado,sveza,487
avocado,almette,176
avocado,hochland,80
cooking,hochland,1580
cooking,ekomilk,10
cucumber,almette,549
cucumber,hochland,470
cucumber,pretto,62
cucumber,store_brand,33
cucumber,schonfeld,21
cucumber,philadelphia,3
cucumber,karat_other,1
fish,bonfesto,10
garlic,viola,191
garlic,hochland,126
garlic,almette,42
garlic,savushkin,17
garlic,sveza,2
greens_herbs,president,657
greens_herbs,viola,548
greens_herbs,sveza,234
greens_herbs,molochnaya_kultura,161
greens_herbs,bonfesto,161
greens_herbs,syrobogatov,77
greens_herbs,savushkin,69
greens_herbs,almette,64
greens_herbs,hochland,39
greens_herbs,valio,18
greens_herbs,pretto,5
greens_herbs,sernur,4
greens_herbs,store_brand,4
greens_herbs,schonfeld,4
ham_bacon,hochland,218
light,almette,646
light,sveza,57
light,hochland,1
mascarpone,molochnaya_kultura,63
mascarpone,pretto,62
mascarpone,store_brand,5
mascarpone,unagrande,3
mushrooms_truffle,hochland,171
mushrooms_truffle,almette,97
mushrooms_truffle,bonfesto,28
mushrooms_truffle,syrobogatov,14
mushrooms_truffle,philadelphia,8
mushrooms_truffle,savushkin,4
mushrooms_truffle,schonfeld,3
mushrooms_truffle,sveza,3
mushrooms_truffle,molochnaya_kultura,1
other_or_unknown,ekomilk,2356
other_or_unknown,hochland,2097
other_or_unknown,almette,1588
other_or_unknown,sveza,1218
other_or_unknown,savushkin,694
other_or_unknown,president,635
other_or_unknown,pretto,424
other_or_unknown,syrobogatov,238
other_or_unknown,schonfeld,207
other_or_unknown,bonfesto,199
other_or_unknown,viola,70
other_or_unknown,sernur,45
other_or_unknown,philadelphia,43
other_or_unknown,cremeitali,22
other_or_unknown,store_brand,19
other_or_unknown,karat_other,7
other_or_unknown,cremette,6
other_or_unknown,valio,6
other_or_unknown,molochnaya_kultura,3
other_or_unknown,unagrande,2
other_or_unknown,selo_zelenoe,1
plain,hochland,2672
plain,almette,2138
plain,president,2080
plain,sveza,1837
plain,viola,947
plain,schonfeld,494
plain,molochnaya_kultura,201
plain,savushkin,163
plain,syrobogatov,136
plain,valio,118
plain,bonfesto,89
plain,unagrande,42
plain,store_brand,21
plain,sernur,16
plain,philadelphia,8
plain,ekomilk,3
plain,pretto,1
spicy,molochnaya_kultura,43
spicy,bonfesto,28
spicy,cremeitali,3
