is_marketplace,brand,n_buyers
false,hochland,3061
false,almette,2368
false,president,1872
false,ekomilk,1368
false,sveza,1356
false,viola,938
false,savushkin,791
false,schonfeld,581
false,pretto,414
false,molochnaya_kultura,358
false,bonfesto,331
false,syrobogatov,282
false,valio,136
false,sernur,54
false,store_brand,52
false,philadelphia,43
false,cremeitali,18
false,unagrande,16
false,cremette,6
false,karat_other,5
false,selo_zelenoe,1
true,hochland,2762
true,almette,1661
true,ekomilk,1552
true,sveza,1253
true,president,1054
true,viola,806
true,syrobogatov,166
true,bonfesto,138
true,savushkin,113
true,pretto,86
true,schonfeld,38
true,store_brand,34
true,unagrande,33
true,philadelphia,21
true,molochnaya_kultura,18
true,sernur,10
true,cremeitali,9
true,karat_other,5
true,valio,4
